iter	Passed	Remaining
0	0	954
1	1	788
2	2	717
3	2	675
4	3	647
5	3	626
6	4	618
7	4	610
8	5	606
9	6	611
10	6	619
11	7	623
12	8	632
13	8	633
14	9	636
15	10	631
16	10	626
17	11	620
18	11	614
19	12	608
20	12	604
21	13	602
22	14	599
23	14	602
24	15	604
25	16	603
26	16	602
27	17	599
28	17	597
29	18	594
30	18	591
31	19	588
32	19	586
33	20	585
34	21	590
35	22	593
36	22	595
37	23	604
38	24	603
39	25	601
40	25	599
41	26	598
42	26	597
43	27	596
44	27	593
45	28	591
46	29	588
47	29	586
48	30	588
49	30	586
50	31	584
51	31	582
52	32	580
53	33	578
54	33	576
55	34	575
56	34	573
57	35	574
58	36	574
59	36	574
60	37	573
61	37	572
62	38	572
63	39	570
64	39	568
65	40	566
66	40	564
67	41	562
68	41	560
69	42	558
70	42	556
71	42	553
72	43	551
73	43	549
74	44	547
75	44	545
76	45	543
77	45	541
78	46	540
79	46	540
80	47	539
81	48	537
82	48	533
83	48	531
84	49	531
85	49	531
86	50	530
87	51	528
88	51	527
89	51	525
90	52	524
91	53	523
92	53	521
93	53	520
94	54	518
95	54	517
96	55	515
97	55	514
98	56	512
99	56	511
100	57	509
101	57	508
102	58	507
103	58	506
104	59	505
105	59	504
106	60	504
107	60	503
108	61	502
109	61	501
110	62	499
111	63	500
112	63	500
113	64	499
114	64	498
115	65	499
116	65	497
117	66	496
118	66	495
119	67	494
120	67	493
121	68	491
122	68	490
123	69	489
124	69	488
125	70	487
126	70	485
127	71	484
128	71	483
129	72	482
130	72	481
131	73	481
132	73	481
133	74	481
134	75	482
135	75	481
136	76	480
137	76	479
138	77	479
139	78	479
140	78	479
141	79	477
142	79	479
143	80	478
144	81	477
145	81	477
146	82	477
147	82	476
148	83	475
149	83	475
150	84	474
151	84	473
152	85	471
153	85	470
154	86	469
155	86	468
156	87	467
157	87	466
158	88	466
159	88	465
160	89	464
161	89	463
162	90	462
163	90	461
164	91	460
165	92	466
166	93	466
167	94	465
168	94	465
169	95	464
170	95	464
171	96	463
172	96	462
173	97	461
174	97	460
175	98	459
176	98	458
177	99	457
178	99	457
179	100	456
180	100	455
181	101	454
182	101	453
183	102	452
184	102	452
185	103	451
186	103	450
187	104	449
188	104	448
189	105	447
190	105	448
191	106	448
192	107	448
193	107	448
194	108	449
195	109	449
196	110	448
197	110	447
198	111	446
199	111	445
200	111	445
201	112	444
202	112	443
203	113	442
204	113	441
205	114	440
206	114	439
207	115	439
208	115	438
209	116	437
210	116	436
211	117	435
212	117	434
213	118	434
214	118	433
215	119	434
216	120	435
217	121	435
218	122	435
219	122	435
220	123	434
221	124	434
222	124	433
223	125	433
224	125	432
225	126	431
226	126	431
227	127	430
228	127	429
229	128	428
230	128	428
231	129	427
232	129	426
233	130	426
234	130	425
235	131	424
236	131	423
237	132	423
238	132	423
239	133	422
240	133	421
241	134	421
242	135	421
243	136	421
244	136	421
245	137	420
246	137	419
247	138	419
248	138	418
249	139	417
250	139	417
251	140	416
252	140	415
253	141	414
254	141	413
255	142	412
256	142	412
257	143	411
258	143	411
259	144	410
260	144	410
261	145	409
262	146	409
263	146	408
264	146	407
265	147	406
266	147	406
267	148	405
268	149	405
269	149	404
270	150	405
271	151	404
272	151	403
273	152	403
274	152	402
275	153	402
276	153	401
277	154	400
278	154	400
279	155	399
280	155	398
281	156	398
282	157	397
283	157	397
284	157	396
285	158	395
286	158	394
287	159	394
288	159	393
289	160	392
290	161	392
291	161	391
292	162	390
293	162	391
294	163	391
295	164	391
296	164	390
297	165	389
298	166	389
299	166	388
300	167	388
301	167	387
302	168	387
303	168	386
304	169	385
305	169	385
306	170	384
307	170	384
308	171	383
309	171	382
310	172	381
311	172	381
312	173	380
313	173	379
314	174	379
315	174	378
316	175	377
317	175	377
318	178	380
319	179	380
320	179	379
321	180	379
322	180	378
323	181	378
324	181	377
325	182	376
326	182	376
327	183	375
328	183	374
329	184	374
330	184	373
331	185	372
332	185	371
333	186	371
334	186	370
335	187	369
336	187	369
337	188	368
338	188	367
339	188	366
340	189	366
341	190	366
342	191	367
343	192	367
344	193	367
345	194	366
346	194	366
347	195	365
348	195	365
349	196	364
350	196	363
351	197	363
352	197	362
353	198	361
354	198	361
355	199	360
356	199	359
357	200	359
358	200	358
359	201	357
360	201	357
361	202	356
362	202	356
363	203	355
364	203	354
365	204	354
366	205	353
367	205	353
368	206	352
369	206	352
370	207	351
371	207	351
372	208	350
373	209	349
374	209	349
375	210	348
376	210	347
377	211	347
378	211	346
379	211	345
380	212	345
381	212	344
382	213	344
383	214	343
384	214	343
385	215	342
386	215	341
387	216	341
388	216	340
389	217	339
390	217	339
391	218	338
392	218	338
393	219	337
394	220	337
395	220	336
396	221	336
397	221	335
398	222	334
399	222	334
400	223	333
401	223	332
402	224	332
403	224	331
404	225	330
405	225	330
406	226	329
407	227	329
408	227	329
409	228	328
410	228	327
411	229	327
412	229	326
413	230	326
414	230	325
415	231	324
416	231	324
417	232	323
418	233	323
419	233	322
420	234	322
421	234	321
422	235	321
423	235	320
424	236	319
425	236	319
426	237	318
427	238	318
428	238	317
429	238	316
430	239	316
431	239	315
432	240	314
433	240	314
434	241	313
435	241	312
436	242	312
437	243	311
438	243	311
439	244	310
440	244	310
441	245	309
442	245	308
443	246	308
444	246	307
445	247	307
446	248	306
447	248	306
448	249	305
449	249	305
450	250	304
451	250	304
452	251	303
453	251	302
454	252	302
455	252	301
456	253	300
457	253	300
458	254	299
459	254	298
460	255	298
461	255	297
462	256	297
463	257	296
464	257	296
465	258	295
466	258	295
467	259	294
468	259	293
469	260	293
470	260	292
471	261	292
472	261	291
473	262	291
474	262	290
475	263	290
476	264	289
477	264	289
478	265	288
479	265	287
480	266	287
481	266	286
482	267	286
483	267	285
484	268	285
485	268	284
486	269	283
487	269	283
488	270	282
489	270	281
490	271	281
491	271	280
492	272	280
493	272	279
494	273	278
495	273	278
496	274	277
497	274	276
498	275	276
499	276	276
500	276	275
501	277	275
502	278	274
503	278	274
504	279	273
505	279	273
506	280	272
507	280	271
508	281	271
509	281	270
510	282	269
511	282	269
512	283	268
513	283	268
514	284	267
515	284	266
516	284	266
517	285	265
518	286	265
519	286	264
520	287	263
521	287	263
522	288	262
523	288	262
524	289	261
525	289	260
526	292	262
527	293	262
528	294	262
529	295	262
530	296	261
531	296	260
532	297	260
533	297	259
534	298	259
535	298	258
536	299	257
537	299	257
538	300	256
539	300	256
540	301	255
541	301	254
542	302	254
543	302	253
544	303	253
545	303	252
546	304	252
547	305	251
548	305	251
549	306	250
550	306	250
551	307	249
552	307	248
553	308	248
554	308	247
555	309	247
556	309	246
557	310	245
558	310	245
559	311	244
560	311	243
561	312	243
562	312	242
563	313	242
564	313	241
565	314	240
566	314	240
